0.005 nan 300.84
0.015 nan 300.823
0.025 nan 300.806
0.035 nan 300.789
0.045 nan 300.772
0.055 nan 300.755
0.065 nan 300.738
0.075 nan 300.721
0.085 nan 300.704
0.095 nan 300.687
0.105 nan 300.67
0.115 nan 300.653
0.125 nan 300.636
0.135 nan 300.619
0.145 nan 300.602
0.155 nan 300.585
0.165 nan 300.568
0.175 nan 300.551
0.185 nan 300.534
0.195 nan 300.517
0.205 nan 300.5
0.215 nan 300.483
0.225 nan 300.466
0.235 nan 300.449
0.245 nan 300.432
0.255 nan 300.415
0.265 nan 300.398
0.275 nan 300.381
0.285 nan 300.364
0.295 nan 300.347
0.305 nan 300.331
0.315 nan 300.314
0.325 nan 300.297
0.335 nan 300.28
0.345 nan 300.263
0.355 nan 300.246
0.365 nan 300.229
0.375 nan 300.212
0.385 nan 300.195
0.395 nan 300.178
0.405 nan 300.161
0.415 nan 300.144
0.425 nan 300.127
0.435 nan 300.11
0.445 nan 300.093
0.455 nan 300.076
0.465 nan 300.059
0.475 nan 300.042
0.485 nan 300.025
0.495 nan 300.008
0.505 nan 299.992
0.515 nan 299.975
0.525 nan 299.958
0.535 nan 299.941
0.545 nan 299.924
0.555 nan 299.907
0.565 nan 299.89
0.575 nan 299.873
0.585 nan 299.856
0.595 nan 299.839
0.605 nan 299.822
0.615 nan 299.805
0.625 nan 299.788
0.635 nan 299.771
0.645 nan 299.754
0.655 nan 299.737
0.665 nan 299.72
0.675 nan 299.703
0.685 nan 299.686
0.695 nan 299.669
0.705 nan 299.653
0.715 nan 299.636
0.725 nan 299.619
0.735 nan 299.602
0.745 nan 299.585
0.755 nan 299.568
0.765 nan 299.551
0.775 nan 299.534
0.785 nan 299.517
0.795 nan 299.5
0.805 nan 299.483
0.815 nan 299.466
0.825 nan 299.449
0.835 nan 299.432
0.845 nan 299.415
0.855 nan 299.398
0.865 nan 299.381
0.875 nan 299.364
0.885 nan 299.347
0.895 nan 299.33
0.905 nan 299.313
0.915 nan 299.296
0.925 nan 299.279
0.935 nan 299.262
0.945 nan 299.245
0.955 nan 299.228
0.965 nan 299.211
0.975 nan 299.194
0.985 nan 299.177
0.995 nan 299.16
